,名词,动词
675,饺子,0
676,怒火,0
678,药箱,0
680,脖子,0
683,脸,0
684,花篮,0
685,纸条,0
689,流水账,0
691,礼金,0
692,孝衣,0
695,肉体,0
696,口袋,0
698,画儿,0
699,胳臂,0
700,脑,0
703,草帽,0
705,镜子,0
710,人马,0
712,桩子,0
713,木桩,0
714,花儿,0
716,人们,0
717,名声,0
719,手表,0
720,土匪,0
722,回娘家,0
724,笑意,0
725,洋人,0
727,馒头,0
731,饭锅,0
732,厅长,0
736,手枪,0
743,小心眼,0
744,带子,0
745,银子,0
746,牙,0
747,眼珠,0
752,水壶,0
755,罪过,0
757,皮箱,0
760,地址,0
762,名片,0
763,茶,0
764,西服,0
766,刺刀,0
770,票子,0
773,女仆,0
776,军衣,0
777,酒盅,0
778,脸盆,0
780,长袍,0
783,新词,0
784,胳膊,0
787,学者,0
789,鸭舌帽,0
791,资本,0
792,眼皮,0
794,瓶塞,0
795,乌篷船,0
796,货,0
797,鹅毛扇,0
799,小车,0
800,胶卷,0
804,胸膛,0
805,军装,0
809,复员证,0
810,全部,0
812,神,0
814,俘虏,0
816,小米,0
817,乳头,0
819,新兵,0
820,背包,0
821,白菜,0
824,老人,0
825,旅行包,0
827,炮弹,0
830,眼,0
831,唢呐,0
834,斧柄,0
837,盆子,0
839,录音机,0
840,褂子,0
842,绳子,0
846,温度计,0
847,针头,0
851,刀刃,0
853,徽章,0
855,枯草,0
856,人质,0
857,官服,0
860,匕首,0
861,水车,0
864,投机,0
865,分子,0
871,草鱼,0
872,鬼子,0
873,腮帮子,0
874,父亲,0
876,棺材,0
877,粮食,0
878,左腿,0
879,右腿,0
880,手榴弹,0
881,苹果,0
883,寡妇,0
884,姑姑,0
888,地瓜,0
893,石头,0
894,舅舅,0
898,蜻蜓,0
903,葫芦,0
904,面粉,0
908,个人,0
909,袜子,0
910,草,0
915,粉条,0
926,面包,0
927,脚跟,0
928,全身,0
930,屋脊,0
931,梨子,0
932,葡萄,0
933,头巾,0
938,窗帘,0
949,官,0
961,成绩,0
962,方才,0
966,棋子,0
967,老婆,0
968,短裙,0
970,睡衣,0
971,乳罩,0
981,身份证,0
985,高跟鞋,0
988,麻袋,0
992,孩,0
994,饭端,0
995,尺子,0
997,水桶,0
998,风车,0
999,社会主义,0
1000,财产,0
1001,驴,0
1005,火柴盒,0
1007,拳头,0
1019,长裤,0
1022,爸,0
1023,劈柴,0
1026,手巾,0
1029,信笺,0
1031,斗篷,0
1032,热茶,0
1033,姓名,0
1039,鼻烟壶,0
1043,米袋,0
1045,事实,0
1046,新娘,0
1048,棉裤,0
1051,红,0
1052,槐花,0
1053,脸色,0
1054,笔记本,0
1061,一碗水,0
1064,煤运,0
1068,奶娘,0
1070,速度,0
1071,银匠,0
1072,保镖,0
1077,背篓,0
1082,冰棍,0
1083,瓦房,0
1086,木头,0
1088,雪,0
1090,老师,0
1091,腰,0
1092,短枪,0
1094,尸首,0
1099,信收,0
1100,瓜,0
1103,私房钱,0
1105,脚架,0
1106,手臂,0
1107,春卷,0
1110,嘴,0
1113,消防车,0
1118,饼,0
1121,经验总结,0
1123,驳壳枪,0
1124,敌人,0
1126,阵地,0
1129,右臂,0
1132,大妈,0
1138,礼物,0
1148,媒体,0
1149,盒饭,0
1150,布帘,0
1153,报纸,0
1164,女主人,0
1165,保证金,0
1168,船,0
1176,大腿,0
1177,图案,0
1178,明信片,0
1180,随感,0
1181,里子,0
1190,马铃薯,0
1195,咖啡,0
1200,弹弓,0
1201,人行道,0
1202,杠杆,0
1206,石子,0
1207,奶,0
1209,拳击手,0
1211,麻,0
1214,礼品,0
1217,经卷,0
1220,猪带,0
1223,声音,0
1224,厨房,0
1231,国土,0
1233,面纱,0
1235,狮子,0
1236,野兽,0
1238,牲口,0
1241,花瓶,0
1242,弹片,0
1245,茶炊,0
1246,战士,0
1253,犯人,0
1259,腰带,0
1260,围裙,0
1261,皮夹子,0
1263,文件夹,0
1267,身价,0
1272,听筒,0
1277,尸体,0
1278,手帕,0
1279,风琴,0
1285,钩针,0
1287,蜡烛,0
1289,糖浆,0
1295,裙子,0
1296,行军床,0
1297,床支,0
1298,男人,0
1300,课本,0
1301,茶盘,0
1305,秤砣,0
1308,手绢,0
1328,雪茄,0
1331,店门,0
1334,胃,0
1338,诗抄,0
1340,营地,0
1343,期票,0
1344,票据,0
1348,钱袋,0
1350,兔子,0
1351,皮,0
1353,冰,0
1354,搅拌器,0
1359,盘子,0
1361,肚皮,0
1363,武器,0
1365,海报,0
1367,鱼带,0
1368,战利品,0
1374,心神,0
1375,看门人,0
1377,仆人,0
1381,右脚,0
1384,自行车,0
1385,卡车,0
1405,薄饼,0
1418,猎物,0
1419,鸡汤,0
1421,钢琴,0
1422,药品,0
1431,笼子,0
1435,骡子,0
1452,条儿,0
1453,拍纸簿,0
1456,座椅,0
1458,侍女,0
1460,胜利者,0
1465,废墟,0
1468,信带,0
1471,香蕈,0
1475,字母,0
1476,公爵,0
1478,队部,0
1479,信交,0
1481,银柜,0
1482,传单,0
1484,图画,0
1486,证人,0
1489,火把,0
1490,雪橇,0
1498,烛台,0
1510,身子,0
1513,匕着,0
1517,地毯,0
1518,百叶窗,0
1521,箭杆,0
1522,路线,0
1524,战争,0
1531,名字,0
1533,领导,0
1534,校长,0
1540,表格,0
1541,干草,0
1542,机器,0
1543,救火,0
1544,老板,0
1546,乘务员,0
1550,故事,0
1551,铁匠,0
1558,子弹,0
1560,耗子,0
1562,低音提琴,0
1565,马车,0
1569,两脚规,0
1572,力量,0
1578,村长,0
1589,床垫,0
1590,儿媳妇,0
1591,女孩,0
1593,羊派,0
1597,勤务兵,0
1598,父母,0
1600,木板,0
1602,大车,0
1603,工具,0
1608,直尺,0
1611,假牙,0
1613,灯光,0
1614,白鼠,0
1615,扑克牌,0
1616,金针,0
1617,睫毛,0
1620,毛毯,0
1621,桌布,0
