,Unnamed: 0,动词,名词
987,987,弄坏,报社
988,988,拿到,盒饭
990,990,交给,0
991,991,扶,0
992,992,卸下来,诊断书
994,994,让给,0
997,997,加高,0
998,998,读,0
1000,1000,转向,饭菜
1001,1001,推倒,0
1002,1002,缠,0
1003,1003,传递,0
1004,1004,擦,0
1009,1009,避开,0
1011,1011,喷,0
1012,1012,改变,试卷
1013,1013,冲,0
1014,1014,扰乱,0
1015,1015,晃,0
1016,1016,拿来,0
1017,1017,衔,0
1019,1019,变成,0
1024,1024,骂,旗杆
1025,1025,拉开,手术
1028,1028,擦掉,证件
1029,1029,送到,0
1030,1030,付,菜
1031,1031,插,0
1035,1035,驶入,0
1037,1037,收下,0
1040,1040,伸,蟑螂
1041,1041,提,0
1042,1042,缩,蛋
1043,1043,披上,0
1044,1044,拿走,0
1046,1046,勾引,香蕉
1048,1048,加快,雪花
1051,1051,挪开,0
1052,1052,移开,主人
1053,1053,塞,0
1054,1054,抄,0
1055,1055,扎,0
1056,1056,理,小孔
1057,1057,开进,0
1058,1058,传,0
1059,1059,讲,小伙子
1060,1060,挣脱,0
1061,1061,戴,0
1063,1063,否定,0
1064,1064,顶,0
1065,1065,赌,饭盒
1068,1068,掐,0
1069,1069,找,消夜
1074,1074,扶回,0
1075,1075,回到,0
1076,1076,连接,0
1077,1077,抽,0
1078,1078,澄清,心理
1079,1079,搂住,性格
1080,1080,拉,0
1082,1082,投,0
1083,1083,给予,0
1084,1084,指,0
1086,1086,透露,0
1087,1087,称为,0
1088,1088,递给,卷子
1089,1089,收,0
1093,1093,查核,0
1094,1094,藏,0
1095,1095,扯,气流
1097,1097,打量,0
1099,1099,推开,0
1101,1101,抬,0
1104,1104,作,0
1105,1105,减慢,刀
1106,1106,扭伤,黄油
1108,1108,掏,0
1109,1109,告诉,0
1110,1110,递,0
