,Unnamed: 0,名词,动词
535,958,金币,0
536,959,陶器,0
537,961,间谍,0
538,962,荒野,0
539,964,答案,0
540,967,布条,0
541,969,稿子,0
542,971,动词,0
543,973,怒气,0
544,974,麦地,0
545,975,凳子,0
546,976,小艇,订
547,979,公司,0
548,981,夜幕,0
549,984,病房,0
550,985,工作服,传给
551,986,劫匪,摔
552,987,学生,0
553,989,蛋,0
554,994,猩猩,0
555,995,被告,0
556,998,会议,0
557,1000,价格,0
558,1001,支票,0
559,1002,事实,割裂
560,1003,雪茄,0
561,1005,担子,0
562,1006,炸弹,0
