,动词,名词
0,检举,肉体
1,搬出,老几
2,没有,0
3,吃饭,女孩
4,支撑,0
5,摘下,内容
6,踩碎,专
7,跺断,房子
8,排除,0
9,摘去,车
10,不可,0
11,淡忘,话
12,拯救,0
13,免,药
14,放错,记忆
15,载,入党
16,鼓舞,灰
17,爆破,出版社
18,存在,实情
19,接受,坡地
20,吓退,眼睛
21,背诵,脸
22,供,椅子
23,练,脑袋
24,获,车盖
25,降落,0
26,抽光,衣服
27,唱,钥匙
28,震,0
29,带进,鞋
30,印,床
31,隐瞒,父亲
32,打落,柴刀
33,集中,0
34,糊,0
35,眯,胳膊
36,捏,火烧
37,赔,羊
38,提供,地瓜
39,延长,儿子
40,擦拭,菜刀
41,收起,领口
42,靠近,丝巾
43,打扰,精纺
44,朗读,巷子
45,激荡,凳子
46,剪掉,桌子
47,删改,0
48,望,钱
49,转动,白糖
50,分为,0
51,拖散,0
52,拍卖,0
53,输,锅
54,撑,0
55,匹带,0
56,定下,命
57,唬,油条
58,挥,0
59,发,面条
60,做动,0
61,夹,森林
62,归还,沙子
63,掀起,露珠
64,脚踏,男孩
65,听到,枪口
66,隔绝,朋友
67,送上,差异
68,牵扯,大地
69,嗅,神殿
70,抽动,洞穴
71,焚化,摄像机
72,拱,塑料袋
73,到,目光
74,看破,头巾
75,休,0
76,弄僵,地位
77,溅,皮鞋
78,推辞,关节
79,开发,敌国
80,裱糊,对方
81,哼,宗教
82,糟踏,丈夫
83,踮,闺女
84,拉扯,0
85,填,罩子
86,撩开,太太
87,引到,0
88,抽出,屎
89,咬断,辫子
90,摊开,铜子
91,饿,筐子
92,挣,海水
93,制止,月亮
94,映得,头发
95,治愈,计算机
96,叫作,酒瓶
97,喂,灯
98,裁,剪刀
99,截住,信
100,扒开,毕业论文
101,剩下,0
102,掰,礼物
103,开开,女工
104,擦洗,0
105,认出来,祖国
106,杀害,泪水
107,延宕,语文学
108,推过去,厢房
109,分送,牛奶
110,堵塞,相片
111,刷洗,人
112,砸烂,伞
113,逗笑,窗户
114,准备,0
115,强压,书
116,减去,0
117,闪,0
118,突兀,0
119,叫做,全书
